State,Constituency,Candidate,Party,Votes
Maharashtra,Mumbai North,GOPAL CHINAYYA SHETTY,Bharatiya Janata Party,664004
Maharashtra,Mumbai North,SANJAY BRIJKISHORLAL NIRUPAM,Indian National Congress,217422
Maharashtra,Mumbai North,SATISH PARASMAL JAIN,Aam Aadmi Party,32364
Maharashtra,Mumbai North,YADAV KAMLESH SHOBHNATH,Samajwadi Party,5506
Maharashtra,Mumbai North,SINGH ASHOK CHANDRAPAL,Bahujan Samaj Party,5438
Maharashtra,Mumbai North,KAPIL KANTILAL SONI,Independent,2078
Maharashtra,Mumbai North,ARJUN BALU ARDE,Ambedkarite Party of India,1650
Maharashtra,Mumbai North,PRASHANT NARSINH KHARATMAL,Independent,1612
Maharashtra,Mumbai North,GONDANE DIVAKAR LAXMAN,Bharipa Bahujan Mahasangh,1539
Maharashtra,Mumbai North,NITIN RAVINDRA RAJVARDHAN,Bahujan Mukti Party,796
Maharashtra,Mumbai North,SHAIKH FATEH MOHAMMAD,Independent,768
Maharashtra,Mumbai North,SAKHARAM PANDURANG DUNGHAV,Maharashtra Parivartan Sena (T),699
Maharashtra,Mumbai North,THORAT SUNIL UTTAMRAO,All India Forward Bloc,653
Maharashtra,Mumbai North,HAJI AKHTAR PAPERWALA,Independent,626
Maharashtra,Mumbai North,ARJUN CHAUDHARY,Independent,556
Maharashtra,Mumbai North,MOHAMMAD AKHTAR MEHBOOB SHAIKH,Prabuddha Republican Party,462
Maharashtra,Mumbai North,DINESH SHAH,Sardar Vallabhbhai Patel Party,394
Maharashtra,Mumbai North,PRABHAKARAN G. TITUS,People's Party of India(secular),331
Maharashtra,Mumbai North,SATYAVIJAY VITHOBA CHAVAN,Independent,327
Maharashtra,Mumbai North,MILIND SHANKAR REPE,Independent,301
Maharashtra,Mumbai North,SUBODH G. RANJAN,Independent,278
Maharashtra,Mumbai North,None of the Above,None of the Above,8758
Maharashtra,Mumbai North West,GAJANAN CHANDRAKANT KIRTIKAR,Shivsena,464820
Maharashtra,Mumbai North West,KAMAT GURUDAS VASANT,Indian National Congress,281792
Maharashtra,Mumbai North West,MAHESH WAMAN MANJREKAR,Maharashtra Navnirman sena,66088
Maharashtra,Mumbai North West,MAYANK RAMESH GANDHI,Aam Aadmi Party,51860
Maharashtra,Mumbai North West,BHOLE PUSHPA MILIND,Bahujan Samaj Party,10275
Maharashtra,Mumbai North West,RAKHI SAWANT,Rashtriya Aam Party,2006
Maharashtra,Mumbai North West,RINA MAHENDRAKUMAR ZAVERI,Independent,1530
Maharashtra,Mumbai North West,SONKAMBLE GAJANAN TUKARAM,Independent,1366
Maharashtra,Mumbai North West,MANGESH MADHUKAR HUMNE,Bahujan Mukti Party,1082
Maharashtra,Mumbai North West,NITIN H. KHARE,Independent,1078
Maharashtra,Mumbai North West,PRAVIN CHANDRAKANT KAURPURIYA,Hindustan Swaraj Congress Party,888
Maharashtra,Mumbai North West,MOHAN GALVANKAR,The Lok Party of India,694
Maharashtra,Mumbai North West,PRATIK PRABHAKAR TORASKAR,Independent,515
Maharashtra,Mumbai North West,VIJAYANAND SHANKARRAO SHINDE,Hindusthan Nirman Dal,514
Maharashtra,Mumbai North West,None of the Above,None of the Above,11009
Maharashtra,Nashik,GODSE HEMANT TUKARAM,Shivsena,494735
Maharashtra,Nashik,CHHAGAN BHUJBAL,Nationalist Congress Party,307399
Maharashtra,Nashik,DR. PRADEEP PAWAR,Maharashtra Navnirman sena,63050
Maharashtra,Nashik,DINKAR DHARMA PATIL,Bahujan Samaj Party,20896
Maharashtra,Nashik,ADV. TANAJI SUKDEO JAIBHAVE,Communist Party of India (Marxist),17154
Maharashtra,Nashik,VIJAY BALIRAM PANDHARE,Aam Aadmi Party,9672
Maharashtra,Nashik,FASALE BABAN NAMDEO,Independent,3792
Maharashtra,Nashik,SARKATE DEVIDAS PIRAJI,Independent,3425
Maharashtra,Nashik,VISHNU RAMDAS JADHAV,Independent,1666
Maharashtra,Nashik,PRAMOD GYANIRAM NATHEKAR,Independent,1580
Maharashtra,Nashik,MAKSUD ILIYAS KHAN,Independent,1253
Maharashtra,Nashik,AVHAD MAHESH ZUNJAR,All India Forward Bloc,1204
Maharashtra,Nashik,PRAKASH GIRDHAR KANOJE,Independent,1121
Maharashtra,Nashik,PATHAN SAKHAWATKHA YASINKHA,Bahujan Mukti Party,845
Maharashtra,Nashik,PATHAN AYUB MADDEKHAN,Indian Union Muslim League,697
Maharashtra,Nashik,None of the Above,None of the Above,8916
Maharashtra,Mumbai South,ARVIND SAWANT,Shivsena,374780
Maharashtra,Mumbai South,DEORA MILIND MURLI,Indian National Congress,246632
Maharashtra,Mumbai South,BALA NANDGAONKAR,Maharashtra Navnirman sena,84864
Maharashtra,Mumbai South,MEERA SANYAL,Aam Aadmi Party,40388
Maharashtra,Mumbai South,PRAKASH REDDY,Communist Party of India,6903
Maharashtra,Mumbai South,ABDUS SALAM KHAN QASMI,Bahujan Samaj Party,6677
Maharashtra,Mumbai South,RATAN DEVRAM BODKE,Independent,1325
Maharashtra,Mumbai South,SACHIN PAWAR,Bahujan Mukti Party,1266
Maharashtra,Mumbai South,FARNANDES SANTAN,Independent,1078
Maharashtra,Mumbai South,RAJENDRA DAULAT DESAI,Independent,1059
Maharashtra,Mumbai South,SHAHZAD SHAMSHER KHAN PATHAN,Awami Vikas Party,920
Maharashtra,Mumbai South,BASIT FAITH,Independent,765
Maharashtra,Mumbai South,JAHEDA MOHAMMED HANIF SHAIKH,Independent,703
Maharashtra,Mumbai South,BAIG MIRZA KALIM,The Lok Party of India,677
Maharashtra,Mumbai South,DR. OMRAJ L. RATHOD,Independent,675
Maharashtra,Mumbai South,KATARIA JITENDRA KAMABHAI,Independent,595
Maharashtra,Mumbai South,GAURAV SHARMA,Independent,561
Maharashtra,Mumbai South,SHANKAR SONAWANE,Independent,459
Maharashtra,Mumbai South,SHEHBAJ RATHOD,Jai Maha Bharath Party,415
Maharashtra,Mumbai South,ABDUL LATIF ABDUL KADAR SHAIKH,Independent,400
Maharashtra,Mumbai South,None of the Above,None of the Above,9573
Maharashtra,Raigad,ANANT GEETE,Shivsena,396178
Maharashtra,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,394068
